County,Department Of Highway Safety And Motor Vehicles,Mail,Public Assistance,Disability,Armed Forced Recruiters,Public Library,Third Party Voter Registration Organization,Online Voter Registration,Supervisor Of Elections,Total,InPerson,Remote
Alachua  ,903,223,11,13,0,19,673,894,488,"3,224",1840,896
Baker  ,68,29,0,0,0,0,5,98,185,385,166,34
Bay  ,"1,290",302,28,0,0,7,40,816,212,"2,695",2141,342
Bradford  ,108,20,2,0,0,0,26,61,70,287,171,46
Brevard  ,"3,908",974,28,0,0,17,"1,158","1,686",504,"8,275",5639,2132
Broward  ,"5,778","3,442",65,3,0,246,"4,932","8,268","2,177","24,911",14360,8374
Calhoun  ,10,20,2,0,0,7,0,30,96,165,49,20
Charlotte  ,"1,745",218,3,0,0,2,63,374,288,"2,693",2124,281
Citrus  ,"1,302",201,1,0,0,5,295,317,109,"2,230",1625,496
Clay  ,"1,118",355,2,0,0,15,124,955,190,"2,759",2090,479
Collier  ,"3,084",660,45,0,0,4,151,961,399,"5,304",4094,811
Columbia  ,378,66,2,0,0,0,22,163,200,831,543,88
Desoto  ,172,32,2,0,0,0,0,84,90,380,258,32
Dixie  ,46,16,2,0,0,0,1,38,134,237,86,17
Duval  ,"4,314","1,716",46,1,0,72,"2,838","3,391","1,125","13,503",7824,4554
Escambia  ,"2,301",709,2,1,0,16,612,"1,116",264,"5,021",3436,1321
Flagler  ,"1,108",232,1,0,0,19,104,265,150,"1,879",1393,336
Franklin  ,65,9,0,0,0,0,0,34,70,178,99,9
Gadsden  ,85,66,5,0,0,0,6,60,916,"1,138",150,72
Gilchrist  ,77,5,0,0,0,0,0,62,63,207,139,5
Glades  ,94,6,1,0,0,0,0,21,15,137,116,6
Gulf  ,82,22,0,0,0,1,1,44,25,175,127,23
Hamilton  ,61,1,1,0,1,0,10,23,20,117,86,11
Hardee  ,125,8,0,0,0,0,1,0,114,248,125,9
Hendry  ,124,28,3,0,1,0,10,74,110,350,202,38
Hernando  ,"1,139",264,1,0,0,3,264,525,290,"2,486",1668,528
Highlands  ,821,162,2,0,0,0,38,176,115,"1,314",999,200
Hillsborough  ,"7,542","1,877",50,0,0,91,"2,883","4,268","1,999","18,710",11951,4760
Holmes  ,62,26,1,0,0,0,0,51,33,173,114,26
Indian River  ,"1,182",255,4,2,0,1,89,382,106,"2,021",1571,344
Jackson  ,134,76,1,0,0,4,22,131,90,458,270,98
Jefferson  ,29,22,0,0,0,0,13,29,44,137,58,35
Lafayette  ,4,4,0,0,0,0,0,19,46,73,23,4
Lake  ,"2,340",677,11,1,0,67,266,"1,256",352,"4,970",3675,943
Lee  ,"6,123","1,323",35,2,0,51,369,"1,994","1,383","11,280",8205,1692
Leon  ,929,600,8,0,0,4,825,812,576,"3,754",1753,1425
Levy  ,252,55,0,0,0,0,17,105,67,496,357,72
Liberty  ,19,12,0,0,0,0,1,0,55,87,19,13
Madison  ,20,10,1,0,0,0,17,31,84,163,52,27
Manatee  ,"2,381",777,23,0,0,17,373,"1,215",327,"5,113",3636,1150
Marion  ,"2,833",593,24,2,0,43,86,957,484,"5,022",3859,679
Martin  ,0,"1,182",2,0,0,5,57,398,127,"1,771",405,1239
Miami-Dade  ,"7,595","3,847",90,11,0,120,"6,481","13,159","1,925","33,228",20975,10328
Monroe  ,673,198,5,0,0,2,34,292,139,"1,343",972,232
Nassau  ,738,231,1,0,0,3,37,268,73,"1,351",1010,268
Okaloosa  ,"1,915",390,53,1,0,10,126,799,343,"3,637",2778,516
Okeechobee  ,163,46,7,0,0,1,6,90,73,386,261,52
Orange  ,"6,743","2,265",76,11,0,197,"4,071","4,738",649,"18,750",11765,6336
Osceola  ,"2,332",475,7,1,0,25,"1,609","1,059",277,"5,785",3424,2084
Palm Beach  ,"7,022","3,141",13,0,0,132,"3,360","4,435",797,"18,900",11602,6501
Pasco  ,"3,632",812,12,0,1,13,"1,217","1,520",402,"7,609",5178,2029
Pinellas  ,"5,711","1,914",20,5,0,59,"1,248","2,754",787,"12,498",8549,3162
Polk  ,"4,072","1,370",48,0,24,11,"2,098","2,059",499,"10,181",6214,3468
Putnam  ,418,81,10,0,0,1,54,163,160,887,592,135
Santa Rosa  ,"1,567",224,11,0,0,6,49,565,298,"2,720",2149,273
Sarasota  ,"3,358",653,5,0,0,14,310,"1,076","1,077","6,493",4453,963
Seminole  ,"1,551",955,29,1,0,62,"2,031","2,450",629,"7,708",4093,2986
St. Johns  ,"2,320",268,12,0,0,29,266,650,146,"3,691",3011,534
St. Lucie  ,"2,256",511,12,0,0,5,232,962,318,"4,296",3235,743
Sumter  ,"1,301",133,1,0,0,0,25,174,247,"1,881",1476,158
Suwannee  ,153,84,0,0,0,0,5,124,92,458,277,89
Taylor  ,87,31,3,0,0,0,13,32,65,231,122,44
Union  ,13,21,0,0,0,0,0,32,63,129,45,21
Volusia  ,"3,211","1,066",17,1,0,132,"1,342","1,507",197,"7,473",4868,2408
Wakulla  ,126,51,0,0,0,0,14,139,56,386,265,65
Walton  ,591,0,7,0,0,58,68,265,153,"1,142",921,68
Washington  ,118,0,2,0,0,0,8,71,88,287,191,8
